date,average_trip_duration
2019-11-01,856.5946389496718
2019-11-18,833.6756895445799
2019-11-21,883.1013845466726
2019-10-05,1698.847588978186
2019-10-24,945.6432606941081
2019-12-28,1474.888005780347
2019-12-10,699.7093541202672
2019-12-18,624.2503149937002
2019-10-01,1208.1146268656717
2019-11-09,1257.0635656041513
2019-12-04,731.0664634146342
2019-12-08,1053.6017610062893
2019-10-22,1457.6815911361366
2019-12-22,1672.6154819124715
2019-12-29,1509.7729369554074
2019-10-04,1354.016129032258
2019-12-14,1483.9974366277413
2019-11-27,936.3122119815669
2019-10-02,909.9947379073062
2019-11-15,772.8600293302917
2019-11-14,857.9456580610218
2019-12-05,1043.0830678197542
2019-12-23,869.1315884476535
2019-12-11,666.4020979020979
2019-11-13,1421.6209229282435
2019-10-08,1186.795632092148
2019-11-19,832.4224785407725
2019-11-22,832.7923016290068
2019-12-16,672.3521248915872
2019-12-25,2028.7814049586777
2019-10-30,1373.2608996539793
2019-10-14,1228.2304678998912
2019-12-07,1143.2676597789525
2019-10-21,933.4754614272348
2019-11-11,765.0915363385465
2019-10-28,895.837181663837
2019-12-15,898.633270321361
2019-10-25,991.048026868178
2019-11-12,782.3825986747335
2019-12-27,1106.1049987440342
2019-11-28,1839.8126984126984
2019-11-23,1821.721244925575
2019-11-24,1402.77087879389
2019-11-05,1120.918006591431
2019-11-17,916.8842315369261
2019-10-26,1829.1698737221889
2019-12-20,896.9437521633783
2019-11-08,1209.8405197873597
2019-12-30,820.4470979443772
2019-12-13,1210.1543086172344
2019-10-15,931.2798375573437
2019-12-19,768.6865225795115
2019-12-26,1455.959317359076
2019-10-12,1405.957595954953
2019-10-20,2153.098953834341
2019-12-17,839.4672693788716
2019-11-02,1284.4414722064125
2019-10-31,883.935260115607
2019-12-12,757.7242003621002
2019-11-29,2228.586723071917
2019-11-26,1218.3052664284605
2019-10-10,1312.1204178537512
2019-11-25,902.0176327970024
2019-12-01,1698.9830418653949
2019-10-17,900.1973597359736
2019-10-16,1153.2993946919137
2019-11-03,1445.8128280839894
2019-10-27,1774.550307790278
2019-11-30,1403.0344603381013
2019-11-04,945.2912261678865
2019-11-10,1776.3694061962135
2019-10-06,2244.1351149596894
2019-10-07,1008.1026309689383
2019-10-18,1206.1884222474462
2019-12-03,1214.3422696512234
2019-12-21,1309.9636458062841
2019-12-06,834.6787148594377
2019-12-02,825.1685812751292
2019-11-07,733.0599520383693
2019-10-13,1662.74717554353
2019-10-03,1126.0660829551991
2019-12-09,781.0988773747841
2019-11-06,929.9672970431512
2019-11-16,1172.8166666666666
2019-10-29,1157.9145402997165
2019-12-31,1009.9611694837826
2019-11-20,1324.7065725149375
2019-10-23,1212.7167012527862
2019-12-24,1414.84225996081
2019-10-11,914.7204341317365
2019-10-19,2716.3043073174226
2019-10-09,1174.214501335191
